Exercise Name,Major Muscle Group,Minor Muscle Group,Equipment,Exercise Type
Bicep Curl,Arms,Biceps,Dumbells,Resistance Training
Bench Press,Arms,Chest,Bar,Resistance Training
Lat Pulldown,Back,Latissimus Dorsi,Machine,Resistance Training
Tricep Pushdown,Arms,Triceps,Machine,Resistance Training
Back Squat,Legs,"Quadriceps, Glutes",Bar,Resistance Training
Elliptical Trainer,Legs,"Quadriceps, Glutes",Machine,Cardio
Plank,Abdominals,Obliques,Body Weight,Abs
Bicycle Crunch,Abdominals,Obliques,Body Weight,Abs
Incline Chest Press,Chest,"Anterior Deltoid, Triceps",Bar,Resistance Training
Lunges,Legs,"Hamstrings, Glutes, Quadriceps",Bar,Resistance Training
Seated Row,Back,"Latissimus Dorsi, Biceps, Triceps",Machine,Resistance Training
Treadmill,Legs,"Quadriceps, Glutes, Hamstrings",Machine,Cardio
Dumbbell Fly,Chest,Anterior Deltoid,Dumbells,Resistance Training
Skull Crusher,Arms,Triceps,Bar,Resistance Training
Calf Raises,Legs,"Gastrocnemius, Soleus",Machine,Resistance Training
Leg Extension,Legs,Quadriceps,Machine,Resistance Training
Leg Curl,Legs,Hamstrings ,Machine,Resistance Training
Russian Twists,Abdominals,Obliques,Medicine Ball,Abs
V-ups,Abdominals,Hip Flexors,Body Weight,Abs
Front Squat,Legs,"Quadriceps, Glutes",Bar,Resistance Training
Dead-Lift,Legs,"Quadriceps, Glutes, Hamstrings",Bar,Resistance Training
Jump Rope,Legs,"Quadriceps, Glutes, Hamstrings",Jump rope,Cardio
Swimming,Full body,Full body,Pool,Cardio
Stairmaster,Legs,"Quadriceps, Glutes, Hamstrings",Machine,Cardio
Bicycle ,Legs,"Quadriceps, Glutes",Bicycle,Cardio
Side Plank,Abdominals,Obliques,Body Weight,Abs
Shoulder Press,Arms,Deltoids,Machine,Resistance Training
Tricep Extensions,Arms,Triceps,Dumbells,Resistance Training
Military Press,Arms,Deltoids,Bar,Resistance Training
Diamond Push-Ups,Arms,"Triceps, Deltoids, Chest",Body Weight,Resistance Training
